Ticker,Order Type,Price Move,Price Move(Actual),Limit,Stop,OrderShares,BoughtShares,SoldShares,BuyTarget,BuyTargetIndicator,BuyPrice,orderPricePct,SellPrice,Profit,Date,OrderTime,BuyTime,SellTime,Fill(m),Hold(m),PassedStop,PrematureReversalBailOut,NumOfIndicators,Indicators,Result
ADBE,Long,5 Min,2.0,283.17,282.17,17,0,0,282.42,Q|Y|M|W|W,0,34,0,0,2026-01-29,09:42:00,,,,,False,287.74045,5,"W s2, W s3, M s3, Q|Y|M|W|W, Y|M",Cancelled(Order Timed)
PANW,Long,5 Min,4.0,176.39,175.39,28,0,0,175.64,M|M|W|W,0,75,0,0,2026-01-29,09:44:00,,,,,False,177.15,1,M|M|W|W,Order Rejected
RCL,Long,5 Min,1.0,328.29,327.29,15,0,0,327.54,Q|M|W,0,38,0,0,2026-01-29,09:42:00,,,,,False,333.8775,3,"W r4, Q r1, Q|M|W",Cancelled(Order Timed)
FIG,Long,40 Min,30.0,27.84,26.84,183,0,0,27.09,W|D,0,75,0,0,2026-01-29,09:56:00,,,,,False,28.2075,3,"D s3, W s1, W|D",Order Rejected
SHOP,Long,40 Min,32.0,139.83,138.83,35,0,0,139.08,Q|Y|M|W|pdo|pdc|pdh|pdl|D|D|D|D|D,0,63,0,0,2026-01-29,09:52:00,,,,,False,141.50625,8,"pdo, pdc, D pp1, Q|Y|M|W|pdo|pdc|pdh|pdl|D|D|D|D|D, Q|Y|M|W|pdc|pdh|pdl|D|D|D|D|D, Q|Y|M|W|pdh|pdl|D|D|D|D|D, Q|Y|M|W|D|D|D|D|D, Q|Y|M|W",Order Rejected
SCCO,Long,40 Min,5.0,208.23,207.23,23,0,0,207.48,Q|Y|W|D|D,0,57,0,0,2026-01-29,09:55:00,,,,,False,211.278775,3,"D r2, W r3, Q|Y|W|D|D",Order Rejected
CLS,Long,5 Min,2.0,300.75,299.75,16,0,0,300.0,Q|M|W|D,0,34,0,0,2026-01-29,09:43:00,,,,,False,307.42,6,"D s4, W pp1, Q pp1, Q|M|W|D, Q|M|W, Q|M",Cancelled(Order Timed)
COIN,Long,40 Min,9.0,200.86,199.86,25,0,0,200.11,M|W|D|D,0,44,0,0,2026-01-29,09:39:00,,,,,False,204.50125,2,"D s2, M|W|D|D",Order Rejected
BL,Long,5 Min,4.0,48.06,47.06,105,0,0,47.31,W s4,0,63,0,0,2026-01-29,09:43:00,,,,,False,48.66625,1,W s4,Cancelled(Order Timed)
CRWD,Long,5 Min,2.0,433.62,432.62,11,0,0,432.87,Q|Y|M|W|W,0,25,0,0,2026-01-29,09:43:00,,,,,False,440.43875,4,"W s2, M s2, Q|Y|M|W|W, Q|M|W|W",Cancelled(Order Timed)
NET,Long,40 Min,17.98,179.58,178.58,27,27.0,0,178.83,Y|M|W|W|D,178.6,68,0,0,2026-01-29,09:48:00,09:58:36,,10.6,,False,182.83749999999998,2,"Y|M|W|W|D, Y|M",Sold(Stop)
RBRK,Long,40 Min,15.0,58.96,57.96,85,0,0,58.21,W|W|D,0,69,0,0,2026-01-29,09:45:00,,,,,False,59.730000000000004,2,"D s4, W|W|D",Order Rejected
UUUU,Long,40 Min,35.0,24.93,23.93,203,0,0,24.18,Q|W|pdl,0,84,0,0,2026-01-29,09:59:00,,,,,False,25.041249999999998,6,"D s2, W pp1, Q r1, Q|W|pdl, Q|D, Q|W",Order Rejected
SHOP,Long,40 Min,14.0,138.61,137.61,35,0,0,137.86,Q|Y|M|W|pdl|D|D|D|D|D,0,71,0,0,2026-01-29,09:59:00,,,,,False,139.78,9,"pdl, D s1, M s2, Q s1, Y pp1, Q|Y|M|W|pdl|D|D|D|D|D, Q|Y|M|W|D|D|D, Q|Y|M, Q|Y",Order Rejected
OKLO,Long,40 Min,8.0,87.37,86.37,57,0,0,86.62,M|pdo|pdl|D,0,69,0,0,2026-01-29,09:58:00,,,,,False,88.587625,3,"pdo, M|pdo|pdl|D, M|pdl|D",Order Rejected
PLTR,Long,40 Min,19.0,149.38,148.38,33,0,0,148.63,Q|Y,0,63,0,0,2026-01-29,09:53:00,,,,,False,151.32,2,"Y pp1, Q|Y",Order Rejected
CRDO,Long,40 Min,6.0,129.68,128.68,38,0,0,128.93,Y pp1,0,80,0,0,2026-01-29,09:59:00,,,,,False,130.3875,1,Y pp1,Order Rejected
WDC,Long,40 Min,17.0,278.25,277.25,17,0,0,277.5,W r3,0,62,0,0,2026-01-29,09:47:00,,,,,False,282.15875,2,"D pp1, W r3",Order Rejected
ADSK,Long,40 Min,5.0,243.5,242.5,20,0,0,242.75,Y s1,0,47,0,0,2026-01-29,09:30:00,,,,,False,253.9475,2,"W s2, Y s1",Cancelled(Order Timed)
GOOGL,Long,40 Min,9.0,329.21,328.21,15,0,0,328.46,M|M|W|W|W|D|D|D,0,33,0,0,2026-01-29,09:47:00,,,,,False,335.35,9,"D s2, D s3, D s4, W pp1, M r1, M|M|W|W|W|D|D|D, M|M|W|W|W|D|D, M|W|W|D, M|M|W|W|W",Order Rejected
AEM,Long,40 Min,9.0,220.79,219.79,22,22.0,0,220.04,Q|Y|M|W|W|pdo|pdc|pdh|pdl|D|D|D|D,220.02,68,0,0,2026-01-29,09:35:00,10:02:01,,27.03,,False,223.4425,6,"pdo, D s1, W r1, M r4, Q|Y|M|W|W|pdo|pdc|pdh|pdl|D|D|D|D, Q|Y|M|W|W",Sold(Stop)
